UID,DOI,Title,Year,Journal,Authors
WOS:A1979GU56800040,10.1038/279145a0,evidence for a widespread late pleistocene humid period in the kalahari,1979,NATURE,"LANCASTER, IN"
WOS:A1979GW19600043,10.1038/279315a0,short-term climate change and new-zealand temperatures during the last millennium,1979,NATURE,"WILSON, AT; HENDY, CH; REYNOLDS, CP"
WOS:A1979HD71300001,N/A,ice ages and the milankovitch theory - study of interactive climate feedback mechanisms,1979,TELLUS,"CESS, RD; WRONKA, JC"
WOS:A1979GZ08200040,10.1038/279630a0,climate and thermodynamic systems of maximum dissipation,1979,NATURE,"PALTRIDGE, GW"
WOS:A1979HE61200007,10.1016/0033-5894(79)90093-0,rapid ice-sheet growth and initiation of the last glaciation,1979,QUATERNARY RESEARCH,"JOHNSON, RG; ANDREWS, JT"
WOS:A1979HH54000015,10.1175/1520-0469(1979)036<1587:AIACMA>2.0.CO;2,aerosol-induced albedo change - measurement and modeling of an incident,1979,JOURNAL OF THE ATMOSPHERIC SCIENCES,"RUSSELL, PB; LIVINGSTON, JM; UTHE, EE"
WOS:A1979HT03700014,10.1126/science.206.4420.826,can rapid climatic change cause volcanic eruptions,1979,SCIENCE,"RAMPINO, MR; SELF, S; FAIRBRIDGE, RW"
WOS:A1979JP48400024,10.2307/3429088,atmospheric co2 consequences of heavy dependence on coal,1979,ENVIRONMENTAL HEALTH PERSPECTIVES,"ROTTY, RM"
WOS:A1980KH35500008,10.1071/BT9800249,occurrence of casuarina megafossils in the tertiary of southeastern australia,1980,AUSTRALIAN JOURNAL OF BOTANY,"CHRISTOPHEL, DC"
WOS:A1980JG50100007,10.1175/1520-0469(1980)037<0099:OTDOCC>2.0.CO;2,distribution of climate change resulting from an increase in co2 content of the atmosphere,1980,JOURNAL OF THE ATMOSPHERIC SCIENCES,"MANABE, S; WETHERALD, RT"
WOS:A1980JH45800005,10.2307/1550589,"holocene climate based on pollen transfer-functions, eastern canadian arctic",1980,ARCTIC AND ALPINE RESEARCH,"ANDREWS, JT; MODE, WN; DAVIS, PT"
BCI:BCI198121057142,N/A,tree rings and climate change in missouri usa,1980,Transactions of the Missouri Academy of Science,GUYETTE R P; MCGINNES E A JR
WOS:A1980KV86000003,10.1007/BF02423168,forests and climate change in america - some early views,1980,CLIMATIC CHANGE,"THOMPSON, K"
WOS:A1980KQ80900002,N/A,modeling future climate - it is time to plan for a climate change and a warmer earth,1980,AMBIO,"KELLOGG, W"
WOS:A1980KQ21100033,10.1017/S0376892900007815,"climate change and agricultural production in developing-countries - a workshop held at the institute-for-energy-analysis, oak-ridge, tennessee, during 19-20 june 1980",1980,ENVIRONMENTAL CONSERVATION,"BISWAS, AK"
WOS:A1980JJ38300036,N/A,"lacustrine, fluvial, and fan sedimentation - quaternary climate change and tectonism, pine valley, nevada",1980,AAPG BULLETIN-AMERICAN ASSOCIATION OF PETROLEUM GEOLOGISTS,"MULHERN, ME"
WOS:A1980JR92200012,10.1007/BF01586454,on the interaction between a radiatively damped planetary wave and the zonally averaged circulation in the middle atmosphere,1980,PURE AND APPLIED GEOPHYSICS,"BATES, JR"
BCI:BCI198171004885,N/A,pollen analytical studies in the late glacial and early postglacial period of berlin east germany,1980,Verhandlungen des Botanischen Vereins der Provinz Brandenburg,BRANDE A
WOS:A1980JG48500008,10.1175/1520-0450(1980)019<0078:SAMBST>2.0.CO;2,stratospheric aerosol modification by supersonic transport and space-shuttle operations - climate implications,1980,JOURNAL OF APPLIED METEOROLOGY,"TURCO, RP; TOON, OB; POLLACK, JB; WHITTEN, RC; POPPOFF, IG; HAMILL, P"
WOS:A1980JL80000001,10.1175/1520-0450(1980)019<0135:SLCTIF>2.0.CO;2,some local climate trends in 4 cities of new-york state,1980,JOURNAL OF APPLIED METEOROLOGY,"JONES, PA; JIUSTO, JE"
WOS:A1980JV14600001,N/A,climatic-change or analysts artifice - a study of grid-point upper-air data,1980,METEOROLOGICAL MAGAZINE,"PARKER, DE"
WOS:A1980JX01900023,10.1175/1520-0469(1980)037<1136:ACRAC>2.0.CO;2,"aerosol, cloud reflectivity and climate",1980,JOURNAL OF THE ATMOSPHERIC SCIENCES,"CHARLOCK, TP; SELLERS, WD"
WOS:A1980KM77400002,N/A,climatic-change predictability and realization by means of statistical filter models,1980,METEOROLOGISCHE RUNDSCHAU,"SCHONWIESE, CD"
WOS:A1980KB98700003,10.1175/1520-0477(1980)061<0702:MOTLPA>2.0.CO;2,more on the la porte anomaly - a review,1980,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,"CHANGNON, SA"
WOS:A1980KC29700005,10.1126/science.209.4458.763,detecting climate change due to increasing carbon-dioxide,1980,SCIENCE,"MADDEN, RA; RAMANATHAN, V"
WOS:A1980KN75900002,10.1175/1520-0469(1980)037<1903:OTSOCA>2.0.CO;2,on the simulation of climate and climate change with general-circulation models,1980,JOURNAL OF THE ATMOSPHERIC SCIENCES,"CHERVIN, RM"
WOS:A1980KK76100024,10.1126/science.210.4467.325,late wisconsin climate of northern florida and the origin of species-rich deciduous forest,1980,SCIENCE,"WATTS, WA; STUIVER, M"
WOS:A1981MW75700003,10.1007/BF00139744,societal response to co-2-induced climate change - opportunities for research,1981,CLIMATIC CHANGE,"WARRICK, RA; RIEBSAME, WE"
WOS:A1981MU21500002,10.2307/1551050,"modern pollen deposition and holocene paleotemperature reconstructions, central northern canada",1981,ARCTIC AND ALPINE RESEARCH,"ANDREWS, JT; NICHOLS, H"
ZOOREC:ZOOR11800003250,N/A,"late quaternary animal remains from packrat middens in the eastern grand canyon, arizona.",1981,Journal of the Arizona-Nevada Academy of Science,"Cole, K.; Mead, J.I."
WOS:A1981LF67300004,10.1016/0006-3207(81)90004-5,the current status and future of peary caribou rangifer-tarandus-pearyi on the arctic islands of canada,1981,BIOLOGICAL CONSERVATION,"GUNN, A; MILLER, FL; THOMAS, DC"
BCI:BCI198324014164,N/A,climate change due to increased atmospheric carbon di oxide,1981,Abstracts of Papers American Chemical Society,WATTS R G
WOS:A1981MW98300022,N/A,"changes in the ungulate fauna of israel during the last 60,000 years - climate change and the advent of domestication",1981,ISRAEL JOURNAL OF ZOOLOGY,"DAVIS, SJM"
WOS:A1981MA98401927,N/A,climate change due to increased atmospheric co2,1981,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,"WATTS, RG"
WOS:A1981MH23900018,N/A,simulation experiments with a test for the mean of a time-series for use in climate change experiments,1981,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,"ZWIERS, FW"
WOS:A1981MD56800001,N/A,water requirements and man-induced climate change,1981,JOURNAL OF THE IRRIGATION AND DRAINAGE DIVISION-ASCE,"HARGREAVES, GH"
WOS:A1981LF62200018,N/A,"all-union meeting on the problem of anthropogenic climate change (leningrad, april 1-4, 1980)",1981,IZVESTIYA AKADEMII NAUK SSSR FIZIKA ATMOSFERY I OKEANA,"BYUTNER, EK"
WOS:A1981LP22500008,10.1029/JC086iC02p01174,surface ozone measurements in clean-air,1981,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,"OLTMANS, SJ"
WOS:A1981LL21200011,10.1016/0012-821X(81)90031-5,a test of terminal mesozoic catastrophe,1981,EARTH AND PLANETARY SCIENCE LETTERS,"MCLEAN, DM"
WOS:A1981LQ97000003,10.1175/1520-0469(1981)038<0489:CCACFT>2.0.CO;2,climate change and cloud feedback - the possible radiative effects of latitudinal redistribution,1981,JOURNAL OF THE ATMOSPHERIC SCIENCES,"POTTER, GL; ELLSAESSER, HW; MACCRACKEN, MC; MITCHELL, CS"
WOS:A1981LK67100002,10.1016/0033-5894(81)90100-9,a paleoclimate model of northern hemisphere ice sheets,1981,QUATERNARY RESEARCH,"BIRCHFIELD, GE; WEERTMAN, J; LUNDE, AT"
WOS:A1981LQ97000019,10.1175/1520-0469(1981)038<0661:COAAPS>2.0.CO;2,cloud optics as a possible stabilizing factor in climate change,1981,JOURNAL OF THE ATMOSPHERIC SCIENCES,"CHARLOCK, TP"
MEDLINE:17744925,N/A,research into effects of a co2-climate change suggested.,1981,"Science (New York, N.Y.)",N/A
WOS:A1981LN45600021,10.1126/science.212.4496.812,microparticle concentration variations linked with climatic-change - evidence from polar ice cores,1981,SCIENCE,"THOMPSON, LG; MOSLEYTHOMPSON, E"
WOS:A1981LR82800026,10.1029/JC086iC05p04274,reaction of the accumulation zone portions of glaciers to climatic-change,1981,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,"WHILLANS, IM"
WOS:A1981LR43200021,10.1126/science.212.4499.1142,historical nile floods and their implications for climatic-change,1981,SCIENCE,"HASSAN, FA"
WOS:A1981MM66600015,10.1063/1.2914332,climate models,1981,PHYSICS TODAY,"BERGMAN, KH; HECHT, AD; SCHNEIDER, SH"
WOS:000204440900024,10.1038/294308a0,mars climate change: where are the petroglyphs?,1981,NATURE,"Fanale, Fraser P."
WOS:A1982PU17200008,N/A,"the influence of soils, geomorphology and geology on the distribution of plant-communities in savanna ecosystems",1982,ECOLOGICAL STUDIES,"COLE, MM"
WOS:A1982PR68300007,N/A,paleogene climate change and mammalian fauna in bose basin of guangxi,1982,VERTEBRATA PALASIATICA,"XU, QQ"
BCI:BCI198477063877,N/A,biochemical characteristics of the beillard peat bog at gerardmer vosges france,1982,Bulletin de l'Ecole Nationale Superieure d'Agronomie et des Industries Alimentaires,JACQUIN F; POLO A; ALMENDROS G
WOS:A1982MX39900024,N/A,"climate change and society - consequences of increasing atmospheric carbon-dioxide - kellogg,ww, schware,r",1982,SCIENCE TECHNOLOGY & HUMAN VALUES,N/A
BCI:BCI198324064017,N/A,carbon di oxide review 1982,1982,N/A,CLARK W C
WOS:A1982PT71800016,N/A,global climate change and international-law,1982,IMPACT OF SCIENCE ON SOCIETY,"NANDA, VP"
WOS:A1982PG05800001,10.1016/0019-1035(82)90120-8,quasi-periodic climate change on mars and earth - introduction,1982,ICARUS,"CUTTS, JA; POLLACK, JB"
BCI:BCI198325020091,N/A,the impact and detection of climate change,1982,Zimbabwe Science News,USHER P
BCI:BCI198324064021,N/A,climate change and an ice-free arctic ocean,1982,N/A,FLOHN H
WOS:A1982PN66900006,N/A,views of climate change - a delphi experiment in the midwest,1982,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,"CHANGNON, SA"
WOS:A1982NU94400006,10.2307/20041276,"society, science and climate change",1982,FOREIGN AFFAIRS,"KELLOGG, WW; SCHWARE, R"
WOS:A1982MY77900002,10.1007/BF02423310,economic-impact analysis and climate change - a conceptual introduction,1982,CLIMATIC CHANGE,"SMITH, VK"
WOS:A1982MV73800021,10.1126/science.215.4529.159,c-14 dates at grande pile - correlation of land and sea chronologies,1982,SCIENCE,"WOILLARD, GM; MOOK, WG"
WOS:A1982MW54900020,10.1126/science.215.4530.287,the rise of global mean sea-level as an indication of climate change,1982,SCIENCE,"ETKINS, R; EPSTEIN, ES"
WOS:A1982NF69700006,10.1016/S0091-6749(82)80006-7,altitude and house dust mites,1982,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,"VERVLOET, D; PENAUD, A; RAZZOUK, H; SENFT, M; ARNAUD, A; BOUTIN, C; CHARPIN, J"
WOS:A1982NN75900007,10.1175/1520-0450(1982)021<0334:SCODBS>2.0.CO;2,sub-tropical climatology of direct beam solar-radiation,1982,JOURNAL OF APPLIED METEOROLOGY,"THOMPSON, TM; COX, SK"
WOS:A1982NK38700038,10.1038/296638a0,storm trajectories in eastern-united-states d/h isotopic composition of precipitation,1982,NATURE,"LAWRENCE, JR; GEDZELMAN, SD; WHITE, JWC; SMILEY, D; LAZOV, P"
WOS:A1982PG05800002,10.1016/0019-1035(82)90121-X,periodic climate change on mars - review of evidence and effects on distribution of volatiles,1982,ICARUS,"CARR, MH"
WOS:A1982PG05800012,10.1016/0019-1035(82)90131-2,mars - the regolith-atmosphere-cap system and climate change,1982,ICARUS,"FANALE, FP; SALVAIL, JR; BANERDT, WB; SAUNDERS, RS"
WOS:A1982PG05800003,10.1016/0019-1035(82)90122-1,topography and stratigraphy of martian polar layered deposits,1982,ICARUS,"BLASIUS, KR; CUTTS, JA; HOWARD, AD"
WOS:A1982PH58100014,10.1175/1520-0450(1982)021<1172:DCC>2.0.CO;2,detecting climate change,1982,JOURNAL OF APPLIED METEOROLOGY,"EPSTEIN, ES"
WOS:A1982PG20500008,10.1016/0032-0633(82)90114-3,regolith atmosphere exchange of water and carbon-dioxide on mars - effects on atmospheric history and climate change,1982,PLANETARY AND SPACE SCIENCE,"FANALE, FP; JAKOSKY, BM"
WOS:A1982PJ22300001,10.1175/1520-0469(1982)039<1895:CIOACS>2.0.CO;2,confidence-intervals of a climatic signal,1982,JOURNAL OF THE ATMOSPHERIC SCIENCES,"HAYASHI, Y"
WOS:A1982PE66400021,10.1126/science.217.4564.1023,el-chichon forebodes climate change,1982,SCIENCE,"KERR, RA"
WOS:A1982PF46000025,10.1126/science.217.4565.1142,late quaternary zonation of vegetation in the eastern grand-canyon,1982,SCIENCE,"COLE, K"
